,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
0,8D7FF051CC317B615EC4A4B74F2A8DBB88FA9E18,2015,제주,20인 ~ 49인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
1,364410247958C54625DCA6A8C5E5E5A694129132,2015,제주,5인 미만,프로판,프로판,13403,날염 가공업,-
2,D57ED905ED7492C595E9ADF3B8870B08A4F0704D,2015,제주,5인 미만,전력,전력,29120,유압기기 제조업,-
3,94893D174D5EF8A26F4DEAC6F3ED9FA4C17C557E,2015,제주,5인 ~ 9인,경유,경유,10800,동물용 사료 및 조제식품 제조업,-
4,EA3B7DD642A1AED9885811C776A3D6B67946E619,2015,제주,5인 미만,전력,전력,10129,기타 육류 가공 및 저장처리업,-
5,8BD3992CF8CF5405BC9382A0335500D18B47C4CA,2015,제주,10인 ~ 19인,전력,전력,23911,건설용 석제품 제조업,-
6,23AD164A7989CFAA288FFF5CA4761A4B5C40C5EE,2015,제주,10인 ~ 19인,전력,전력,23911,건설용 석제품 제조업,-
7,8C1BF7235948808478BDFFDF065DC693F58E67F7,2015,제주,10인 ~ 19인,전력,전력,10212,수산동물 건조 및 염장품 제조업,-
8,7875886AB61D398DD52297235EFE4CA5AACC336A,2015,제주,5인 미만,전력,전력,13922,어망 및 기타 끈가공품 제조업,-
9,13DF909F5719E251325E2DC14663C714E47917AA,2015,제주,5인 미만,전력,전력,22223,플라스틱 창호 제조업,-
10,94893D174D5EF8A26F4DEAC6F3ED9FA4C17C557E,2015,제주,5인 미만,전력,전력,10800,동물용 사료 및 조제식품 제조업,-
11,753CFEE103E99E94EB6A57C2C6B8B79762B16F1B,2015,제주,5인 ~ 9인,전력,전력,10309,기타 과실·채소 가공 및 저장처리업,-
12,BCE7129D173057B5E17CEFC37D824CC4AE727C4A,2015,제주,10인 ~ 19인,전력,전력,25112,구조용 금속판제품 및 금속공작물 제조업,-
13,510A13741EBE8771ACC4553BEFDAFD4F90FF5F91,2015,제주,10인 ~ 19인,전력,전력,28122,배전반 및 전기자동제어반 제조업,-
14,27DA2085F532F53B18BB3E9902A6F4BEB24E1F27,2015,제주,5인 미만,경유,경유,32029,기타 목재가구 제조업,-
15,85301E6E423CF70708B660829E323D1728E483C3,2015,제주,5인 미만,경유,경유,16101,일반 제재업,-
16,7C1628C54664819F3112A0FAC158CA32071EA327,2015,제주,5인 미만,휘발유,휘발유,18111,경 인쇄업,-
17,3AA3EF18C39E8A10BC00C9126783661E1B816145,2015,제주,5인 ~ 9인,전력,전력,10711,떡류 제조업,-
18,4839198ED7935754D130801013E719DD6E8D8902,2015,제주,10인 ~ 19인,전력,전력,18119,기타 인쇄업,-
19,364410247958C54625DCA6A8C5E5E5A694129132,2015,제주,5인 미만,전력,전력,13403,날염 가공업,-
20,1FC5E8A7F04CD16DE354F9FAB09E7A611139FA3D,2015,제주,5인 미만,전력,전력,10796,건강보조용 액화식품 제조업,-
21,ADBB32DC7B1A74118C86C9E644C8E374ED22DDEC,2015,제주,5인 미만,등유(구:실내등유),등유(구:실내등유),16221,목재문 및 관련제품 제조업,-
22,FC411C9F276FF235B72DD94446C3DA1A4CA7F6BB,2015,제주,10인 ~ 19인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
23,0EE9F56C0CE756F41953215C7314FB3C5507CBBE,2015,제주,5인 ~ 9인,등유(구:실내등유),등유(구:실내등유),10792,차류 가공업,-
24,4050BB3B677DBA777A0F42BEA07FE2F83FE04548,2015,제주,5인 ~ 9인,경유,경유,33910,간판 및 광고물 제조업,-
25,D306F9FB9955CF97F303072D8ED6880AF19ECD01,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
26,76C14ACDB078E49B368A77917BBB5E3D6C8E8D3B,2015,제주,50인 ~ 99인,전력,전력,17902,위생용 종이제품 제조업,-
